id,normal_1,normal_2,day3_1,day3_2,day3_3,day7_1,day7_2,day7_3,day14_1,day14_2
ENSMUSG00000037894,2548.64,2557.96,3055.26,3666.14,3110.95,3584.76,4084.61,3930.03,3831.24,4080.94
ENSMUSG00000075270,11.359,11.9101,40.1653,21.911,26.8059,32.9196,11.2612,25.8187,30.2301,27.0539
ENSMUSG00000052920,1230.15,1137.71,1788.6,2192.08,1985.41,3190.54,3633.05,3934.76,5330.32,6444.32
ENSMUSG00000035004,62.8445,56.7106,288.887,306.141,295.411,328.617,384.723,436.553,520.21,490.415
ENSMUSG00000071451,787.05,746.348,815.537,980.813,881.142,802.338,892.188,851.896,762.074,759.12
ENSMUSG00000069895,172.48,148.589,342.462,432.796,361.066,300.919,409.252,389.646,355.302,360.552
ENSMUSG00000098789,365.909,307.767,350.394,402.434,354.904,342.512,406.359,344.062,240.295,240.046
ENSMUSG00000091931,30.9142,26.8308,240.118,258.185,268.294,261.856,279.802,255.267,175.61,311.154
ENSMUSG00000079018,167.502,150.513,164.88,172.129,152,114.657,149.644,120.105,106.136,96.7579
ENSMUSG00000087687,232.15,182.348,138.162,149.926,155.951,116.219,105.782,110.826,87.9513,88.1297
ENSMUSG00000098387,283,206.644,167.27,185.891,189.718,134.216,160.092,134.997,108.733,90.8798
ENSMUSG00000024659,1449.36,1311.28,4425.65,4479.36,3956.99,4152.7,5116.79,5234.41,7849.63,6406.43
ENSMUSG00000037742,16714.5,14141,19159.7,21169.3,19867.1,14906.2,17428.2,16832.6,16095,14318
ENSMUSG00000061048,162.377,159.596,1110.79,1329.17,1075.91,1002.55,1379.48,1799.82,1758.34,1854.61
ENSMUSG00000005397,5272.17,5060.15,7110.33,7574.63,6365.29,6746.25,8962.3,6129.23,7746.73,7919.56
ENSMUSG00000028393,5797.9,5171.48,1833.06,2020.42,1985.07,1518.8,1789.12,1578.91,1294.52,1255.61
ENSMUSG00000021939,2509.3,2069.78,5009.91,5817.29,5391.59,3511.89,4938.81,5048.47,3865.56,3662.21
ENSMUSG00000022884,5407.5,4489.25,4934.48,5244.28,4873.1,4190.95,4930.1,4563.33,4177.36,4028.08
ENSMUSG00000028367,7693.24,6226.45,8601.61,9105.95,8776.19,6843.62,8050.71,7482.76,5892.08,5098.1
ENSMUSG00000057933,1759.72,1975.31,2978.7,2684.22,3051.98,1619.54,2117.96,1669.15,563.276,355.799
ENSMUSG00000058135,13345.3,12004.4,9712.23,10206.6,9914.49,8593.65,9128.95,6793.72,6467.36,4490.07
ENSMUSG00000033813,1486.75,1313.37,1921.61,2102.27,1948.55,1844.92,2356.6,2169.76,2124.21,2066.47
ENSMUSG00000051439,305.777,252.836,1417.65,1615.3,1380.38,1050.16,1488.9,1823.94,2018.6,2138.93
ENSMUSG00000038387,1538.25,1363.64,2493.04,2859.59,2399.45,2075.62,2532.39,2430.39,2041.07,2063.04
ENSMUSG00000010095,9674.95,8488.41,4539.71,5048.58,4569.7,3296.25,3449.54,2825.25,2527.65,2018.83
ENSMUSG00000069268,13460.6,13580,18198.4,22264.7,17197.6,19868.9,24768.5,22681.9,23772.3,23950.4
ENSMUSG00000069300,13460.6,13580,18198.4,22264.7,17197.6,19868.9,24768.5,22681.9,23772.3,23950.4
ENSMUSG00000069303,13460.6,13580,18198.4,22264.7,17197.6,19868.9,24768.5,22681.9,23772.3,23950.4
ENSMUSG00000069307,13460.6,13580,18198.4,22264.7,17197.6,19868.9,24768.5,22681.9,23772.3,23950.4
ENSMUSG00000094338,13460.6,13580,18198.4,22264.7,17197.6,19868.9,24768.5,22681.9,23772.3,23950.4
ENSMUSG00000095217,13460.6,13580,18198.4,22264.7,17197.6,19868.9,24768.5,22681.9,23772.3,23950.4
ENSMUSG00000096210,5914.43,5807.06,5502.99,5886.58,5163.66,5984.97,7537.91,5932.67,5797.95,6259.32
ENSMUSG00000029304,90.2887,66.8255,1628.34,2447.25,1792.37,616.093,1138.2,1353.06,741.302,698.485
ENSMUSG00000022205,1098.46,989.747,1504.06,1823.44,1548.41,1612.63,2082.72,1960.83,1972.92,2088.3
ENSMUSG00000023132,138.296,142.019,171.485,208.535,217.553,253.408,243.581,214.313,214.342,179.553
ENSMUSG00000001506,1796.49,1668.22,3654.02,2986.23,3034.89,3464.38,4946.01,4270.06,8390.27,8407.5
ENSMUSG00000015568,2660.29,1727.77,646.182,642.542,615.368,793.94,654.012,539.233,899.015,768.231
ENSMUSG00000020649,91.2641,73.2338,190.648,203.138,180.915,107.797,91.4322,90.5151,97.393,70.2728
ENSMUSG00000031538,133.112,205.804,440.093,429.552,398.055,395.836,578.686,536.275,1008.46,682.939
ENSMUSG00000009350,256.718,417.624,3047.11,2305.35,2415.06,990.567,1319.31,1575.78,3460.1,1280.43
ENSMUSG00000026193,4487.25,4514.54,23337.3,23131.4,22797,16513,21574.1,15833.6,26624.1,18384.5
ENSMUSG00000063856,8561.93,7468.55,5220.36,5756.34,5231.61,4033.91,4977.14,4797.62,3643.52,2966.31
ENSMUSG00000028773,7122.1,6373.22,4442.09,5178.39,4623.52,4364.99,5222.96,3554.73,2380.18,2240.6
ENSMUSG00000031447,1457.5,1256.45,1884.46,2145.51,2080.03,1814.03,2186.89,2085.61,1745.25,1947.1
ENSMUSG00000019942,267.126,241.33,3088.08,3135.66,3278.61,822.016,825.95,990.17,1250.64,567.335
ENSMUSG00000023944,9934.69,8195.43,9274.07,10493.1,9844.41,7458.16,8185.46,8313.96,8522.02,8436.48
ENSMUSG00000045103,2473.35,2563.57,2157.81,2146.72,2005.92,1942.42,1875.57,1554.91,2190.51,1738.33
ENSMUSG00000026822,90.7076,87.3551,1650.96,1352.51,2026.47,777.17,1269.81,1258.83,1615.46,2799.57
ENSMUSG00000049382,1057.17,1344.07,5993.08,6396.1,4762.52,5168.21,7787.21,6981.38,7311.78,6048.8
ENSMUSG00000001128,211.365,293.932,1026.73,865.235,1095.05,471.439,650.943,782.487,1739.21,988.548
ENSMUSG00000000555,620.464,585.155,1920.12,1930.34,1852.93,1345.99,1789.97,1624.55,2187.8,1938.37
ENSMUSG00000068086,5484.91,6700.56,715.221,546.908,929.468,1267.72,959.665,411.169,456.63,263.32
