mirna,A178_day3,A180_day7,A181_day7,A189_day14,A196_normal,A200_normal,A201_normal,A74_day3,A75_day3,A80_day7,A84_day14,A85_day14
mmu-miR-450b-5p,154,215,111,116,121,185,112,146,169,176,220,155
mmu-miR-451a,1044,2202,635,622,1804,2185,662,1487,542,1595,1813,304
mmu-miR-452-5p,0,2,0,0,0,2,0,2,4,0,2,0
mmu-miR-455-3p,105,190,63,86,126,192,129,84,80,104,113,79
mmu-miR-455-5p,507,690,336,418,547,762,442,467,276,407,541,319
mmu-miR-463-5p,0,3,0,0,0,0,0,0,0,0,0,0
mmu-miR-465a-3p,0,5,0,0,0,0,0,0,0,0,0,0
mmu-miR-465b-3p,0,5,0,0,0,0,0,0,0,0,0,0
mmu-miR-465c-3p,0,5,0,0,0,0,0,0,0,0,0,0
mmu-miR-465c-5p,7,13,7,5,4,6,2,6,3,6,8,2
mmu-miR-466a-3p,16,28,10,15,9,0,0,10,13,13,14,16
mmu-miR-466a-5p,0,2,0,0,0,0,0,0,0,0,0,0
mmu-miR-466b-3p,20,48,14,18,9,2,4,20,22,28,28,20
mmu-miR-466b-5p,2,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-466c-3p,20,48,14,18,9,2,4,20,22,28,28,20
mmu-miR-466c-5p,2,7,4,0,0,0,0,5,0,6,3,0
mmu-miR-466d-3p,0,9,5,3,2,3,0,7,6,0,2,2
mmu-miR-466d-5p,2,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-466e-3p,20,48,14,18,9,2,4,20,22,28,28,20
mmu-miR-466e-5p,2,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-466f-3p,2,5,2,4,0,0,0,2,3,0,0,0
mmu-miR-466g,4,4,0,0,0,0,0,4,0,0,4,2
mmu-miR-466h-3p,0,0,0,3,0,0,0,4,0,2,3,0
mmu-miR-466h-5p,4,2,0,0,0,0,0,0,0,4,3,0
mmu-miR-466i-3p,0,3,0,0,0,0,0,0,0,0,0,0
mmu-miR-466n-5p,2,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-466o-5p,4,0,0,0,0,0,0,0,0,0,0,0
