mirna,day14_1,day14_2,day14_3,day14_4,day3_1,day3_2,day3_3,day3_4,day7_1,day7_2,day7_3,day7_4,normal_1,normal_2,normal_3
mmu-miR-467c-3p,0,9,0,2,2,0,0,0,3,0,6,0,0,0,0
mmu-miR-467c-5p,98,74,58,47,64,90,61,57,66,49,71,62,7,20,12
mmu-miR-467d-3p,45,63,79,64,45,43,33,47,44,41,45,44,9,6,7
mmu-miR-467d-5p,165,112,171,112,107,108,69,55,153,82,153,144,23,36,39
mmu-miR-467e-3p,0,9,0,2,2,0,0,0,3,0,6,0,0,0,0
mmu-miR-467e-5p,90,92,76,39,72,46,54,42,72,42,64,53,4,15,21
mmu-miR-470-5p,45,33,55,25,31,32,24,32,125,65,92,62,24,26,12
mmu-miR-471-5p,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-483-3p,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
mmu-miR-484,6243,5265,5038,4565,9189,10471,8017,8591,9985,5326,9673,7401,3107,5461,4243
mmu-miR-485-3p,4,14,7,7,4,8,8,11,0,2,6,2,0,2,4
mmu-miR-485-5p,2,4,4,4,2,0,2,0,0,0,0,4,0,0,0
mmu-miR-486a-3p,31,18,50,29,48,26,54,30,24,5,29,32,45,0,7
mmu-miR-486a-5p,41072,22744,51106,26977,42103,35943,59006,41352,23593,7684,27721,50240,43505,5410,10576
mmu-miR-486b-3p,17,10,19,19,19,14,25,19,14,2,21,19,19,0,5
mmu-miR-486b-5p,40990,22706,51018,26931,42046,35870,58906,41267,23568,7662,27676,50156,43379,5405,10549
mmu-miR-487b-3p,2,7,13,5,3,2,2,3,4,0,0,2,2,2,0
mmu-miR-488-3p,18,30,23,8,20,31,29,34,30,19,25,30,7,35,22
mmu-miR-488-5p,3,2,0,0,0,0,0,2,0,2,0,0,0,0,0
mmu-miR-489-3p,135,99,111,101,95,90,127,88,108,47,98,70,41,73,70
mmu-miR-490-3p,0,2,3,0,0,0,0,0,2,0,3,0,0,2,0
mmu-miR-491-3p,0,0,0,3,4,2,2,0,0,2,0,2,0,0,0
mmu-miR-491-5p,0,0,0,0,0,0,3,2,2,6,7,0,0,0,0
mmu-miR-493-3p,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
